OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
1,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60412,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
2,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60412,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
3,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60413,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
4,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60413,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
5,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60414,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
6,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60414,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
7,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60417,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
8,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60417,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
9,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60418,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
10,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60418,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
11,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60419,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
12,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60419,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
13,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60420,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
14,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60420,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
15,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60423,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
16,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60423,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
17,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60606,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
18,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60606,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
19,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60607,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
20,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60607,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
21,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63026,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
22,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63026,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
23,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63027,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
24,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63027,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
25,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63029,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
26,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63029,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
27,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63030,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
28,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63030,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
29,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65320,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
30,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65320,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
31,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65460,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
32,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65460,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
33,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60426,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
34,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60426,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
35,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60428,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
36,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60428,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
37,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60430,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
38,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60430,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
